the tendency;die Tendenz
die Tendenz;the tendency
the pine;die Kiefer
die Kiefer;the pine
the jaw;der Kiefer
der Kiefer;the jaw
the acceptance;die Annahme
die Annahme;the acceptance
the vice;der Schraubstock
der Schraubstock;the vice
the piglet;das Ferkel
das Ferkel;the piglet
the rag;der Lumpen
der Lumpen;the rag
flatulent;blähend
blähend;flatulent
flatulently;blähend
blähend;flatulently
the tow;das Schlepptau
das Schlepptau;the tow
the trick;der Kniff
der Kniff;the trick
pinch;kneifen
kneifen;pinch
the grumbling;das Schimpfen
das Schimpfen;the grumbling
bluster;schimpfen
schimpfen;bluster
besmirched;besudelt
besudelt;besmirched
stain;besudeln
besudeln;stain
decorate;schmücken
schmücken;decorate
the decoration;das Schmücken
das Schmücken;the decoration
the leader;die Anführerin
die Anführerin;the leader
distrustful;misstrauisch
misstrauisch;distrustful
suspiciously;misstrauisch
misstrauisch;suspiciously
the satisfaction;die Befriedigung
die Befriedigung;the satisfaction
the evening;der Feierabend
der Feierabend;the evening
the crypt;die Gruft
die Gruft;the crypt
catch;erhaschen
erhaschen;catch
the check;das Häkchen
das Häkchen;the check
wail;heulen
heulen;wail
cry;heulen
heulen;cry
the wail;das Heulen
das Heulen;the wail
bisexual;bi
bi;bisexual
hiss;zischen
zischen;hiss
the hiss;das Zischen
das Zischen;the hiss
the release;die Freilassung
die Freilassung;the release
resurrected;auferstanden
auferstanden;resurrected
rise;auferstehen
auferstehen;rise
caught;erwischt
erwischt;caught
catch;erwischen
erwischen;catch
the loading area;die Ladefläche
die Ladefläche;the loading area
